# C1[F/m] Ceq[F/m]
4.08492e-11 1.17834e-11
2.67205e-11 1.10267e-11
5.49132e-11 1.22095e-11
8.25579e-11 1.26696e-11
3.81502e-12 6.5115e-12
7.18358e-11 1.2528e-11
1.91721e-12 5.35877e-12
1.75641e-11 1.01221e-11
8.10966e-11 1.26523e-11
2.22467e-11 1.06489e-11
5.01396e-11 1.20872e-11
4.14379e-11 1.18059e-11
4.08288e-11 1.17826e-11
9.62071e-11 1.28084e-11
7.15642e-11 1.2524e-11
7.42385e-11 1.25629e-11
4.58576e-11 1.19597e-11
9.67535e-11 1.28133e-11
7.7518e-11 1.26074e-11
9.95395e-11 1.28371e-11
3.7994e-11 1.16664e-11
4.58812e-11 1.19605e-11
1.00673e-10 1.28464e-11
6.05058e-11 1.23317e-11
6.3043e-11 1.23809e-11
7.16513e-11 1.25253e-11
7.38823e-11 1.25579e-11
7.32288e-11 1.25485e-11
2.06246e-11 1.04846e-11
3.48699e-11 1.15213e-11
8.22845e-11 1.26664e-11
7.1532e-11 1.25235e-11
5.58109e-11 1.22305e-11
8.96369e-11 1.27464e-11
8.70502e-11 1.27196e-11
9.76143e-11 1.28208e-11
8.7461e-11 1.27239e-11
8.3336e-11 1.26786e-11
6.35995e-11 1.23913e-11
6.08458e-11 1.23385e-11
4.42822e-11 1.19078e-11
6.18969e-11 1.23591e-11
7.8156e-11 1.26156e-11
3.75895e-11 1.16487e-11
1.46619e-11 9.69517e-12
3.25411e-11 1.13993e-11
4.99028e-12 7.07901e-12
6.23337e-11 1.23675e-11
6.64072e-12 7.74064e-12
1.49622e-11 9.74394e-12
5.24878e-11 1.21497e-11
3.25723e-11 1.14011e-11
1.97153e-12 5.39685e-12
9.32401e-11 1.27814e-11
5.93977e-11 1.2309e-11
7.51196e-11 1.25752e-11
4.13357e-11 1.1802e-11
1.37941e-11 9.54728e-12
9.33512e-11 1.27824e-11
9.69701e-11 1.28152e-11
4.12881e-11 1.18002e-11
2.56934e-11 1.09484e-11
8.27753e-11 1.26721e-11
4.64474e-11 1.19784e-11
6.16513e-11 1.23544e-11
4.00363e-12 6.609e-12
6.3229e-11 1.23844e-11
6.5162e-11 1.24195e-11
2.94714e-11 1.12165e-11
6.07486e-11 1.23365e-11
4.64602e-11 1.19788e-11
5.3615e-11 1.2178e-11
4.34012e-11 1.18774e-11
3.56913e-11 1.15614e-11
6.09449e-11 1.23405e-11
1.46515e-11 9.69345e-12
2.63409e-12 5.83491e-12
5.83889e-11 1.22878e-11
1.42434e-11 9.62516e-12
5.54545e-11 1.22222e-11
6.16885e-11 1.23551e-11
1.41332e-11 9.60632e-12
3.62773e-11 1.15891e-11
1.29367e-11 9.39018e-12
5.98208e-11 1.23178e-11
3.98671e-11 1.17447e-11
2.14728e-11 1.05727e-11
8.72759e-11 1.2722e-11
1.24112e-11 9.28794e-12
8.8377e-11 1.27335e-11
2.47038e-11 1.08685e-11
3.53372e-11 1.15443e-11
6.36415e-11 1.23921e-11
7.34077e-11 1.25511e-11
1.77664e-11 1.01485e-11
3.21623e-11 1.13782e-11
5.6186e-11 1.22391e-11
4.27729e-11 1.18551e-11
6.09446e-11 1.23404e-11
5.38842e-11 1.21847e-11
5.30717e-11 1.21645e-11
9.13423e-11 1.27632e-11
2.90859e-11 1.11915e-11
4.04919e-11 1.17695e-11
8.5415e-11 1.27019e-11
7.61672e-11 1.25895e-11
3.88933e-11 1.17047e-11
2.48151e-11 1.08777e-11
2.30549e-11 1.07247e-11
6.29005e-11 1.23783e-11
7.04831e-11 1.25075e-11
4.84087e-11 1.20379e-11
6.6481e-11 1.24425e-11
6.8418e-11 1.24748e-11
8.05945e-11 1.26462e-11
1.10592e-11 9.00148e-12
5.395e-11 1.21863e-11
8.82022e-11 1.27317e-11
1.89042e-11 1.02903e-11
1.28197e-11 9.36782e-12
4.55631e-12 6.88013e-12
2.23495e-11 1.06588e-11
9.85191e-11 1.28285e-11
3.93875e-11 1.17252e-11
3.53569e-11 1.15453e-11
9.73543e-11 1.28185e-11
7.77978e-11 1.2611e-11
5.73206e-11 1.22646e-11
6.67942e-11 1.24478e-11
3.61635e-11 1.15838e-11
3.16647e-11 1.13499e-11
8.33966e-11 1.26793e-11
4.12427e-11 1.17985e-11
4.69316e-11 1.19935e-11
6.92498e-11 1.24882e-11
2.95774e-11 1.12233e-11
5.04253e-11 1.20951e-11
7.43738e-11 1.25648e-11
7.64849e-11 1.25937e-11
4.49237e-11 1.19293e-11
6.52026e-11 1.24203e-11
3.87835e-11 1.17001e-11
5.16133e-11 1.2127e-11
3.9841e-11 1.17436e-11
7.47905e-11 1.25706e-11
5.47435e-11 1.22054e-11
6.67132e-11 1.24464e-11
4.87109e-11 1.20467e-11
5.38606e-11 1.21841e-11
9.76953e-11 1.28215e-11
4.35063e-12 6.78167e-12
6.33467e-11 1.23866e-11
8.8377e-11 1.27335e-11
6.00496e-11 1.23224e-11
2.06818e-11 1.04907e-11
2.11309e-11 1.05378e-11
2.56806e-11 1.09474e-11
2.97785e-11 1.12361e-11
3.44688e-11 1.15012e-11
9.99287e-11 1.28403e-11
1.19426e-11 9.19266e-12
8.99192e-11 1.27492e-11
9.5589e-11 1.28029e-11
8.15555e-11 1.26578e-11
9.30721e-11 1.27798e-11
9.29475e-11 1.27786e-11
4.24682e-11 1.18441e-11
1.7481e-11 1.01111e-11
3.87248e-11 1.16977e-11
4.98114e-11 1.20781e-11
8.68607e-11 1.27176e-11
4.56279e-11 1.19523e-11
7.01802e-11 1.25028e-11
8.61605e-11 1.27101e-11
1.43538e-11 9.64386e-12
1.30042e-11 9.40297e-12
9.52899e-11 1.28002e-11
9.84242e-11 1.28277e-11
8.94073e-11 1.2744e-11
7.34897e-12 7.98597e-12
3.3445e-11 1.14482e-11
9.20278e-11 1.27699e-11
6.26011e-11 1.23726e-11
4.21561e-11 1.18327e-11
2.8625e-11 1.1161e-11
9.41107e-11 1.27895e-11
4.99916e-11 1.20831e-11
7.17516e-11 1.25268e-11
8.8484e-12 8.44451e-12
8.68092e-11 1.2717e-11
3.5625e-11 1.15582e-11
3.37994e-12 6.27612e-12
6.00723e-11 1.23229e-11
5.484e-11 1.22077e-11
1.91356e-11 1.03178e-11
9.7434e-11 1.28192e-11
4.58993e-11 1.19611e-11
3.19298e-11 1.13651e-11
9.27359e-11 1.27766e-11
3.74214e-11 1.16412e-11
2.72288e-11 1.10639e-11
9.26372e-11 1.27757e-11
3.81242e-11 1.1672e-11
4.47866e-11 1.19247e-11
8.74758e-11 1.27241e-11
5.57257e-11 1.22285e-11
3.26544e-12 6.21161e-12
2.74823e-11 1.10821e-11
3.94565e-11 1.1728e-11
4.23206e-11 1.18387e-11
6.0717e-11 1.23359e-11
5.73665e-11 1.22656e-11
9.28584e-11 1.27778e-11
1.13459e-11 9.06526e-12
5.6752e-11 1.22519e-11
6.20588e-11 1.23622e-11
1.22281e-11 9.25119e-12
1.52506e-11 9.7897e-12
6.7167e-11 1.24541e-11
9.13804e-11 1.27636e-11
8.35786e-11 1.26814e-11
9.40034e-11 1.27885e-11
5.30737e-11 1.21646e-11
3.95082e-11 1.17301e-11
2.22653e-11 1.06507e-11
8.68798e-11 1.27178e-11
9.53148e-11 1.28005e-11
5.46942e-11 1.22043e-11
7.471e-12 8.02623e-12
9.71073e-11 1.28164e-11
1.96601e-11 1.03785e-11
1.00463e-10 1.28447e-11
9.45295e-11 1.27933e-11
4.9126e-11 1.20587e-11
4.58254e-11 1.19587e-11
2.38382e-11 1.07948e-11
1.21852e-11 9.24248e-12
6.5748e-11 1.24298e-11
1.60272e-11 9.90787e-12
7.09389e-11 1.25145e-11
2.24992e-11 1.0673e-11
1.00937e-10 1.28486e-11
3.34141e-11 1.14466e-11
3.53075e-12 6.35943e-12
1.25188e-11 9.30926e-12
3.48634e-11 1.1521e-11
6.73727e-11 1.24576e-11
9.52324e-11 1.27997e-11
2.00449e-11 1.04217e-11
9.43175e-11 1.27914e-11
8.71162e-11 1.27203e-11
4.94937e-11 1.20692e-11
2.38006e-11 1.07915e-11
3.24992e-11 1.1397e-11
8.27143e-11 1.26714e-11
2.85312e-11 1.11547e-11
1.00454e-10 1.28446e-11
3.7657e-11 1.16517e-11
5.53127e-11 1.22189e-11
3.4602e-11 1.15079e-11
1.36327e-11 9.51858e-12
4.18327e-11 1.18207e-11
6.64591e-11 1.24421e-11
9.07148e-11 1.27571e-11
9.34957e-11 1.27838e-11
1.44371e-11 9.65786e-12
8.02503e-11 1.2642e-11
6.89363e-11 1.24832e-11
8.84167e-11 1.27339e-11
7.24971e-11 1.25378e-11
5.66959e-11 1.22507e-11
9.54653e-12 8.634e-12
1.62618e-11 9.94219e-12
8.97316e-12 8.4794e-12
9.12207e-11 1.27621e-11
2.58954e-11 1.09641e-11
4.76376e-11 1.2015e-11
7.26348e-11 1.25399e-11
2.13634e-11 1.05616e-11
4.07901e-11 1.17811e-11
5.71467e-11 1.22607e-11
6.33118e-11 1.2386e-11
5.18923e-11 1.21343e-11
3.95763e-11 1.17329e-11
2.9996e-12 6.05746e-12
1.28689e-11 9.37725e-12
7.85661e-11 1.26209e-11
7.07167e-11 1.25111e-11
1.11609e-11 9.02431e-12
4.51582e-11 1.1937e-11
1.93521e-11 1.03431e-11
3.03809e-11 1.12736e-11
9.00094e-11 1.27501e-11
9.0562e-11 1.27556e-11
9.5871e-11 1.28055e-11
8.79877e-11 1.27295e-11
8.9492e-11 1.27449e-11
6.30051e-11 1.23802e-11
9.18748e-11 1.27684e-11
7.73027e-11 1.26046e-11
2.93744e-11 1.12103e-11
1.54704e-11 9.82388e-12
4.38661e-11 1.18935e-11
2.37902e-11 1.07906e-11
5.10856e-11 1.2113e-11
3.22009e-11 1.13804e-11
7.25697e-11 1.25389e-11
5.83273e-11 1.22865e-11
4.09396e-11 1.17869e-11
1.49724e-11 9.74557e-12
6.36966e-11 1.23931e-11
3.7743e-11 1.16555e-11
2.84819e-11 1.11514e-11
7.71638e-11 1.26027e-11
3.2084e-11 1.13738e-11
2.89879e-11 1.11851e-11
8.95305e-11 1.27453e-11
3.89104e-11 1.17054e-11
9.90753e-11 1.28332e-11
6.41269e-11 1.2401e-11
6.64657e-11 1.24422e-11
7.09954e-11 1.25154e-11
6.19903e-11 1.23609e-11
6.29159e-11 1.23786e-11
2.664e-12 5.8536e-12
9.46057e-11 1.2794e-11
2.72285e-11 1.10639e-11
6.53108e-11 1.24222e-11
5.18477e-11 1.21331e-11
9.1254e-11 1.27624e-11
1.2162e-11 9.23778e-12
8.80999e-11 1.27306e-11
6.3632e-11 1.23919e-11
9.46598e-11 1.27945e-11
8.3249e-11 1.26776e-11
8.28658e-11 1.26732e-11
8.57726e-11 1.27059e-11
7.14409e-11 1.25221e-11
5.59667e-11 1.22341e-11
9.86222e-11 1.28294e-11
6.85153e-11 1.24764e-11
8.6947e-11 1.27185e-11
5.45398e-11 1.22006e-11
5.25184e-11 1.21505e-11
2.05652e-11 1.04783e-11
9.94726e-11 1.28365e-11
3.92761e-11 1.17206e-11
7.99702e-11 1.26385e-11
1.79466e-11 1.01718e-11
5.50356e-11 1.22124e-11
2.86839e-11 1.11649e-11
9.99796e-11 1.28407e-11
3.29213e-12 6.22675e-12
1.38101e-12 4.96343e-12
3.53081e-11 1.15429e-11
4.05993e-11 1.17737e-11
9.70005e-11 1.28154e-11
5.52883e-12 7.31037e-12
1.4335e-11 9.64068e-12
1.00984e-10 1.2849e-11
3.60783e-11 1.15798e-11
1.47922e-11 9.71647e-12
7.70407e-11 1.26011e-11
8.69376e-11 1.27184e-11
6.26968e-12 7.6036e-12
1.36443e-12 4.95061e-12
5.81813e-11 1.22833e-11
1.00022e-10 1.28411e-11
5.18605e-11 1.21335e-11
8.94413e-11 1.27444e-11
3.00364e-11 1.12523e-11
6.26242e-12 7.60085e-12
3.02108e-11 1.12631e-11
6.40195e-11 1.2399e-11
6.4833e-11 1.24137e-11
6.53604e-12 7.7026e-12
6.76714e-11 1.24625e-11
2.74957e-11 1.1083e-11
7.97504e-11 1.26358e-11
1.98861e-11 1.0404e-11
7.72971e-11 1.26045e-11
6.05237e-11 1.2332e-11
4.97045e-11 1.20751e-11
2.987e-11 1.12418e-11
2.33382e-11 1.07504e-11
